pickup_location_id,hour,day_of_week,is_weekend,ride_count
76,13,0,0,2
76,13,1,0,1
76,13,2,0,3
76,13,3,0,4
76,13,4,0,3
76,13,5,1,1
76,13,6,1,1
76,14,0,0,2
76,14,1,0,1
76,14,2,0,2
76,14,3,0,5
76,14,4,0,6
76,14,5,1,1
76,14,6,1,2
76,15,0,0,1
76,15,3,0,1
76,15,4,0,2
76,15,5,1,1
76,16,1,0,1
76,16,3,0,1
76,16,4,0,4
76,17,0,0,2
76,17,3,0,1
76,17,4,0,6
76,18,0,0,1
76,18,4,0,3
76,18,5,1,1
76,19,3,0,6
76,19,6,1,1
76,20,2,0,2
76,20,3,0,1
76,20,4,0,1
76,21,3,0,1
76,22,1,0,1
76,22,2,0,1
76,23,2,0,1
77,4,3,0,1
77,4,4,0,1
77,5,0,0,1
77,6,0,0,2
77,6,1,0,3
77,6,2,0,2
77,6,4,0,1
77,7,1,0,3
77,7,2,0,1
77,7,4,0,1
77,7,6,1,1
77,8,0,0,5
77,8,1,0,3
77,8,2,0,1
77,8,4,0,2
77,8,5,1,1
77,8,6,1,2
77,9,0,0,3
77,9,1,0,1
77,9,2,0,1
77,10,2,0,3
77,10,3,0,1
77,10,6,1,2
77,11,2,0,1
77,11,4,0,2
77,12,2,0,1
77,13,0,0,2
77,13,6,1,1
77,14,1,0,2
77,15,3,0,2
77,15,4,0,1
77,16,1,0,1
77,17,4,0,1
77,22,4,0,1
78,4,2,0,1
78,4,3,0,1
78,6,0,0,1
78,6,5,1,1
78,7,0,0,2
78,7,2,0,3
78,7,4,0,1
78,8,0,0,1
78,8,1,0,1
78,8,4,0,2
78,8,5,1,2
78,8,6,1,1
78,9,0,0,1
78,9,1,0,1
78,9,2,0,1
78,9,3,0,1
78,9,4,0,3
78,9,5,1,1
78,10,0,0,2
78,10,1,0,1
78,10,2,0,1
78,10,3,0,3
78,10,4,0,3
78,10,5,1,1
78,10,6,1,1
78,11,0,0,2
78,11,6,1,1
78,12,1,0,1
78,12,2,0,1
78,12,3,0,1
78,12,5,1,2
78,13,0,0,1
78,13,1,0,1
78,13,6,1,1
78,14,1,0,1
78,14,5,1,1
78,14,6,1,1
78,15,1,0,2
78,15,3,0,1
78,16,0,0,1
78,16,2,0,1
78,16,5,1,1
78,17,3,0,2
78,18,3,0,1
78,22,5,1,1
79,0,0,0,88
79,0,1,0,56
79,0,2,0,56
79,0,3,0,98
79,0,4,0,224
79,0,5,1,698
79,0,6,1,664
79,1,0,0,83
79,1,1,0,28
79,1,2,0,32
79,1,3,0,52
79,1,4,0,146
79,1,5,1,719
79,1,6,1,693
79,2,0,0,81
79,2,1,0,20
79,2,2,0,29
79,2,3,0,42
79,2,4,0,94
79,2,5,1,531
79,2,6,1,512
79,3,0,0,51
79,3,1,0,12
79,3,2,0,23
79,3,3,0,19
79,3,4,0,68
79,3,5,1,341
79,3,6,1,381
79,4,0,0,35
79,4,1,0,7
79,4,2,0,18
79,4,3,0,18
79,4,4,0,26
79,4,5,1,124
79,4,6,1,149
79,5,0,0,15
79,5,1,0,9
79,5,2,0,10
79,5,3,0,13
79,5,4,0,11
79,5,5,1,21
79,5,6,1,19
79,6,0,0,21
79,6,1,0,29
79,6,2,0,27
79,6,3,0,20
79,6,4,0,18
79,6,5,1,24
79,6,6,1,13
79,7,0,0,38
79,7,1,0,53
79,7,2,0,61
79,7,3,0,57
79,7,4,0,48
79,7,5,1,33
79,7,6,1,22
79,8,0,0,55
79,8,1,0,85
79,8,2,0,84
79,8,3,0,87
79,8,4,0,66
79,8,5,1,35
79,8,6,1,29
79,9,0,0,69
79,9,1,0,105
79,9,2,0,81
79,9,3,0,87
79,9,4,0,76
79,9,5,1,78
79,9,6,1,50
79,10,0,0,65
79,10,1,0,63
79,10,2,0,78
79,10,3,0,81
79,10,4,0,88
79,10,5,1,97
79,10,6,1,87
79,11,0,0,69
79,11,1,0,62
79,11,2,0,78
79,11,3,0,75
79,11,4,0,83
79,11,5,1,109
79,11,6,1,113
79,12,0,0,71
79,12,1,0,63
79,12,2,0,76
79,12,3,0,87
79,12,4,0,92
79,12,5,1,136
79,12,6,1,101
79,13,0,0,66
79,13,1,0,59
79,13,2,0,97
79,13,3,0,107
79,13,4,0,102
79,13,5,1,180
79,13,6,1,146
79,14,0,0,71
79,14,1,0,83
79,14,2,0,82
79,14,3,0,78
79,14,4,0,100
79,14,5,1,157
