elasticity,multiplier,revenue_pct_change,rides_pct_change
-0.8,1.5,-3.686841413757036,-14.747365655028133
-0.8,1.55,-4.866630666159288,-16.222102220530953
-0.8,1.6,-6.19389357511182,-17.696838786033766
-0.8,1.65,-7.6686301406146296,-19.171575351536575
-0.8,1.7,-9.29084036266774,-20.646311917039384
-0.8,1.75,-11.060524241271107,-22.121048482542204
-0.8,1.8,-12.977681776424777,-23.595785048045016
-0.8,1.85,-15.042312968128702,-25.070521613547825
-0.8,1.9,-17.254417816382926,-26.545258179050645
-0.8,1.95,-19.613996321187443,-28.019994744553458
-0.8,2.0,-22.12104848254223,-29.494731310056267
-1.0,1.0,0.0,0.0
-1.0,1.05,-0.09217103534391313,-1.843420706878518
-1.0,1.1,-0.36868414137570804,-3.686841413757036
-1.0,1.15,-0.8295393180953292,-5.530262120635543
-1.0,1.2,-1.47473656550281,-7.373682827514072
-1.0,1.25,-2.304275883598139,-9.217103534392578
-1.0,1.3,-3.318157272381328,-11.060524241271107
-1.0,1.35,-4.516380731852365,-12.903944948149615
-1.0,1.4,-5.89894626201124,-14.747365655028133
-1.0,1.45,-7.465853862858007,-16.590786361906652
-1.0,1.5,-9.21710353439259,-18.43420706878517
-1.0,1.55,-11.152695276615033,-20.27762777566369
-1.0,1.6,-13.272629089525335,-22.121048482542204
-1.0,1.65,-15.576904973123472,-23.964469189420722
-1.0,1.7,-18.06552292740947,-25.80788989629924
-1.0,1.75,-20.73848295238332,-27.65131060317776
-1.0,1.8,-23.595785048045027,-29.494731310056267
-1.0,1.85,-26.63742921439458,-31.338152016934785
-1.0,1.9,-29.863415451431997,-33.181572723813304
-1.0,1.95,-33.27374375915725,-35.02499343069182
-1.0,2.0,-36.868414137570305,-36.868414137570305
-1.2,1.0,0.0,0.0
-1.2,1.05,-0.4792893837884171,-2.212104848254226
-1.2,1.1,-1.1797892524022524,-4.424209696508441
-1.2,1.15,-2.1014996058414948,-6.636314544762656
-1.2,1.2,-3.2444204441061775,-8.848419393016883
-1.2,1.25,-4.608551767196289,-11.060524241271107
-1.2,1.3,-6.19389357511182,-13.272629089525322
-1.2,1.35,-8.000445867852758,-15.484733937779538
-1.2,1.4,-10.028208645419134,-17.696838786033766
-1.2,1.45,-12.277181907810931,-19.90894363428798
-1.2,1.5,-14.747365655028144,-22.121048482542204
-1.2,1.55,-17.438759887070777,-24.33315333079642
-1.2,1.6,-20.351364603938837,-26.545258179050645
-1.2,1.65,-23.485179805632317,-28.757363027304862
-1.2,1.7,-26.840205492151227,-30.969467875559086
-1.2,1.75,-30.416441663495554,-33.181572723813304
-1.2,1.8,-34.2138883196653,-35.39367757206753
-1.2,1.85,-36.868414137570305,-36.868414137570305
-1.2,1.9,-36.868414137570305,-36.868414137570305
-1.2,1.95,-36.868414137570305,-36.868414137570305
-1.2,2.0,-36.868414137570305,-36.868414137570305
