svd_1,svd_2,color_group
0.12459008312808455,0.014657650151801814,Energy Drinks
0.15537236076774455,0.36339567015855684,other
0.08717493929349981,0.006752982022771098,Energy Drinks
0.06673948873457139,0.05615518044778551,Other Non-Cola Carbonates
0.03009614019552456,0.015178966427653874,RTD Coffee
0.323100051266668,-0.1532182913134372,Not from Concentrate 100% Juice
0.13493251476200965,0.32697004815563,other
0.36611405662880603,-0.13782409330058082,Not from Concentrate 100% Juice
0.08791452338719064,0.06726109169346745,Other Non-Cola Carbonates
0.07221714530689531,0.02233427127148734,Powder Concentrates
0.10018706396655672,0.05390744549202957,other
0.06909959857103772,0.055468397129537175,Other Non-Cola Carbonates
0.07758198471758318,0.18854700274704042,other
0.09106392630464452,0.22304596408903773,other
0.3759889520479449,-0.1513762873665985,Not from Concentrate 100% Juice
0.31599165209146257,-0.15903754296371797,other
0.3441946884208755,-0.1770976438523704,Not from Concentrate 100% Juice
0.03515486296429245,0.01678638824653919,other
0.09439313788828706,0.06658043534639711,other
0.37845357922727874,-0.1674435939521818,other
0.1826573309062762,-0.0877095517793843,other
0.05898963743623577,0.01543124272565728,other
0.10714050474407519,0.27837723741658643,other
0.0753011139113891,0.06368973812027057,Other Non-Cola Carbonates
0.07650682787538794,0.09379944276167636,other
0.15628375620877072,0.3299830633110507,Functional Bottled Water
0.05911553802853774,0.013201700028009324,Powder Concentrates
0.0849121940642602,0.06818555236857786,other
0.10011143518249432,0.17631764510725803,other
0.070793372869408,0.15442926073478744,other
0.1225411170083747,0.23347420469413555,other
0.39139479412730804,-0.17441522703569173,Juice Drinks (up to 24% Juice)
0.19016985939645167,-0.09019047856811077,other
0.028023946893627305,0.014008832995368653,RTD Coffee
0.12618925418692334,0.10763852115208879,Other Non-Cola Carbonates
0.059765677964749825,0.04230147854446846,other
0.12851888167228476,0.29149271515344155,other
0.0999017298481473,0.07145253296123298,other
0.3512303104321546,-0.17404254158502583,Not from Concentrate 100% Juice
0.09837995948662238,0.242416480769502,other
0.10307271540815478,0.028714824010131788,other
0.16038327789660467,0.3967709803791716,Functional Bottled Water
0.16099181298907492,0.3370396986791785,Functional Bottled Water
0.2672911212296012,-0.10362315983645605,Juice Drinks (up to 24% Juice)
0.14846359074832263,0.004762643510638666,Energy Drinks
0.06668799559507825,0.07511690495379619,Liquid Concentrates
0.05669479405581596,0.04249937647946778,Other Non-Cola Carbonates
0.5104510981730341,-0.2651383094048183,Not from Concentrate 100% Juice
0.11965901597113335,0.0076695616043120805,Energy Drinks
0.18048352544226876,0.35570298366691755,Functional Bottled Water
0.06059701763285028,0.005533691905372195,Powder Concentrates
0.11545574244758176,0.09579960248987979,Other Non-Cola Carbonates
0.2658959075002574,-0.13980320601029658,other
0.0673733648291491,0.04324018112437129,Other Non-Cola Carbonates
0.37845357922727874,-0.1674435939521818,other
0.12281569657095168,0.11969446941132551,Other Non-Cola Carbonates
0.07515721530855671,0.10676589680269703,other
0.05671072962331485,0.07477988757945084,other
0.05130081654468619,0.03988484648710188,other
0.047349626397811796,0.023381512392854478,RTD Coffee
0.13455309184712116,0.12681906908441354,Other Non-Cola Carbonates
0.10463056696971965,0.051709626295101674,Energy Drinks
0.08866586723126392,0.07745881342441678,Other Non-Cola Carbonates
0.04854391998298153,0.03435024490205125,other
0.036627711881781884,0.015811625749847423,Liquid Concentrates
0.3547239027162495,-0.18427402809822005,Not from Concentrate 100% Juice
0.2754633878799016,-0.13539938252250563,Not from Concentrate 100% Juice
0.24828223351525702,0.5236351743784567,other
0.19838595254941088,0.1667637116244677,Other Non-Cola Carbonates
0.026598075353451774,-0.004076747231467338,other
0.034958692800898646,0.01280627845971114,other
0.09230054909322481,0.10068430452282588,Other Non-Cola Carbonates
0.11268079211650259,0.23349245217957287,Functional Bottled Water
0.11975664451590659,0.2923310756794088,Functional Bottled Water
0.11249999246612961,0.04458028390912294,Liquid Concentrates
0.1256748013695481,0.282324212545801,other
0.05671553589485478,0.018523456970331593,other
0.0628726544287093,0.07285957445697784,other
0.041084626908482164,0.015441961214171976,RTD Coffee
0.14643082899805784,0.3315413023932775,other
0.07729140087103048,0.04904118390224027,Liquid Concentrates
0.2118096870460649,-0.07613605412454093,Not from Concentrate 100% Juice
0.11058019505256388,0.0720010008351981,other
0.04732404401286653,0.09899533843065848,other
0.07107280479262419,0.07776739201615573,Energy Drinks
0.23288487697308397,-0.102209039178918,other
0.09693726389705554,-0.03198193397321047,other
0.06706491425353735,-0.011276558912221209,other
0.3352593163318825,-0.11798089270766102,other
0.04377880975978154,0.009292546038709168,Liquid Concentrates
0.17443482364975263,0.43649767823690855,other
0.03412189676013348,-0.003556804599073907,other
0.10271876746313086,0.06709405546867395,Other Non-Cola Carbonates
0.02273261647719879,0.011695802854471181,RTD Coffee
0.10983356596058726,-0.02130520321126268,Liquid Concentrates
0.0794955262781901,0.05715162151618835,other
0.27893660378763663,-0.12348255055420407,Juice Drinks (up to 24% Juice)
0.047025741416992145,0.027399314416639026,RTD Coffee
0.17115396788660084,0.3134369779472517,Functional Bottled Water
0.1910878183820008,0.43625389598665937,other
0.3237194284271295,-0.15280787930227924,Not from Concentrate 100% Juice
0.36256093673603185,-0.18351722702872833,Not from Concentrate 100% Juice
0.07243079876600922,0.0756744796323181,Other Non-Cola Carbonates
0.0533899342671973,0.03738062683709736,RTD Coffee
0.08958204941344128,-0.009818144709283336,RTD Coffee
0.0988574584317808,0.05630224650409845,Energy Drinks
0.03462810463687767,0.02286866449161252,other
