pickup_datetime,trips
2024-01-23 04:00:00,175
2024-01-23 05:00:00,494
2024-01-23 06:00:00,1441
2024-01-23 07:00:00,3301
2024-01-23 08:00:00,4390
2024-01-23 09:00:00,4833
2024-01-23 10:00:00,5017
2024-01-23 11:00:00,5492
2024-01-23 12:00:00,5469
2024-01-23 13:00:00,5359
2024-01-23 14:00:00,5736
2024-01-23 15:00:00,5762
2024-01-23 16:00:00,5836
2024-01-23 17:00:00,6671
2024-01-23 18:00:00,6813
2024-01-23 19:00:00,5879
2024-01-23 20:00:00,5615
2024-01-23 21:00:00,5495
2024-01-23 22:00:00,4296
2024-01-23 23:00:00,2843
2024-01-24 00:00:00,1701
2024-01-24 01:00:00,531
2024-01-24 02:00:00,339
2024-01-24 03:00:00,197
2024-01-24 04:00:00,200
2024-01-24 05:00:00,552
2024-01-24 06:00:00,1422
2024-01-24 07:00:00,3571
2024-01-24 08:00:00,4795
2024-01-24 09:00:00,4846
2024-01-24 10:00:00,4603
2024-01-24 11:00:00,4912
2024-01-24 12:00:00,5537
2024-01-24 13:00:00,5549
2024-01-24 14:00:00,6133
2024-01-24 15:00:00,6254
2024-01-24 16:00:00,6097
2024-01-24 17:00:00,6968
2024-01-24 18:00:00,7625
2024-01-24 19:00:00,6613
2024-01-24 20:00:00,6047
2024-01-24 21:00:00,5929
2024-01-24 22:00:00,5112
2024-01-24 23:00:00,3233
2024-01-25 00:00:00,1583
2024-01-25 01:00:00,680
2024-01-25 02:00:00,342
2024-01-25 03:00:00,250
2024-01-25 04:00:00,234
2024-01-25 05:00:00,617
2024-01-25 06:00:00,1561
2024-01-25 07:00:00,3583
2024-01-25 08:00:00,4773
2024-01-25 09:00:00,5117
2024-01-25 10:00:00,4864
2024-01-25 11:00:00,4802
2024-01-25 12:00:00,5145
2024-01-25 13:00:00,5386
2024-01-25 14:00:00,5952
2024-01-25 15:00:00,6175
2024-01-25 16:00:00,6112
2024-01-25 17:00:00,7059
2024-01-25 18:00:00,7685
2024-01-25 19:00:00,6712
2024-01-25 20:00:00,6378
2024-01-25 21:00:00,6616
2024-01-25 22:00:00,6276
2024-01-25 23:00:00,4391
2024-01-26 00:00:00,2476
2024-01-26 01:00:00,1295
2024-01-26 02:00:00,740
2024-01-26 03:00:00,454
2024-01-26 04:00:00,348
2024-01-26 05:00:00,620
2024-01-26 06:00:00,1492
2024-01-26 07:00:00,3174
2024-01-26 08:00:00,4358
2024-01-26 09:00:00,4322
2024-01-26 10:00:00,4863
2024-01-26 11:00:00,4675
2024-01-26 12:00:00,5039
2024-01-26 13:00:00,5413
2024-01-26 14:00:00,5998
2024-01-26 15:00:00,6181
2024-01-26 16:00:00,5946
2024-01-26 17:00:00,6501
2024-01-26 18:00:00,6825
2024-01-26 19:00:00,6199
2024-01-26 20:00:00,5029
2024-01-26 21:00:00,5464
2024-01-26 22:00:00,5971
2024-01-26 23:00:00,5146
2024-01-27 00:00:00,4799
2024-01-27 01:00:00,3926
2024-01-27 02:00:00,2767
2024-01-27 03:00:00,1738
2024-01-27 04:00:00,975
2024-01-27 05:00:00,394
2024-01-27 06:00:00,622
2024-01-27 07:00:00,1063
2024-01-27 08:00:00,1946
2024-01-27 09:00:00,3031
2024-01-27 10:00:00,4131
2024-01-27 11:00:00,4822
2024-01-27 12:00:00,5613
2024-01-27 13:00:00,5914
2024-01-27 14:00:00,5872
2024-01-27 15:00:00,5822
2024-01-27 16:00:00,6355
2024-01-27 17:00:00,6177
2024-01-27 18:00:00,6357
2024-01-27 19:00:00,6098
2024-01-27 20:00:00,5120
2024-01-27 21:00:00,6185
2024-01-27 22:00:00,6605
2024-01-27 23:00:00,6717
2024-01-28 00:00:00,5040
2024-01-28 01:00:00,4404
2024-01-28 02:00:00,3583
2024-01-28 03:00:00,2020
2024-01-28 04:00:00,1006
2024-01-28 05:00:00,380
2024-01-28 06:00:00,552
2024-01-28 07:00:00,1065
2024-01-28 08:00:00,1609
2024-01-28 09:00:00,2576
2024-01-28 10:00:00,3731
2024-01-28 11:00:00,4755
2024-01-28 12:00:00,5597
2024-01-28 13:00:00,5899
2024-01-28 14:00:00,5848
2024-01-28 15:00:00,5488
2024-01-28 16:00:00,5009
2024-01-28 17:00:00,4915
2024-01-28 18:00:00,4677
2024-01-28 19:00:00,3530
2024-01-28 20:00:00,3586
2024-01-28 21:00:00,3271
2024-01-28 22:00:00,2664
2024-01-28 23:00:00,1661
2024-01-29 00:00:00,1039
2024-01-29 01:00:00,488
2024-01-29 02:00:00,234
2024-01-29 03:00:00,201
2024-01-29 04:00:00,209
2024-01-29 05:00:00,541
2024-01-29 06:00:00,1320
2024-01-29 07:00:00,3025
2024-01-29 08:00:00,3952
2024-01-29 09:00:00,4186
2024-01-29 10:00:00,4165
2024-01-29 11:00:00,4235
2024-01-29 12:00:00,4608
2024-01-29 13:00:00,4860
2024-01-29 14:00:00,5310
2024-01-29 15:00:00,5448
2024-01-29 16:00:00,5324
2024-01-29 17:00:00,5921
2024-01-29 18:00:00,5996
2024-01-29 19:00:00,5081
2024-01-29 20:00:00,4626
2024-01-29 21:00:00,3908
2024-01-29 22:00:00,2961
2024-01-29 23:00:00,1907
2024-01-30 00:00:00,1515
2024-01-30 01:00:00,443
2024-01-30 02:00:00,242
2024-01-30 03:00:00,145
2024-01-30 04:00:00,166
2024-01-30 05:00:00,545
2024-01-30 06:00:00,1437
2024-01-30 07:00:00,3295
2024-01-30 08:00:00,4595
2024-01-30 09:00:00,4712
2024-01-30 10:00:00,4769
2024-01-30 11:00:00,4812
2024-01-30 12:00:00,5106
2024-01-30 13:00:00,5288
2024-01-30 14:00:00,5883
2024-01-30 15:00:00,6061
2024-01-30 16:00:00,5783
2024-01-30 17:00:00,6712
2024-01-30 18:00:00,7448
2024-01-30 19:00:00,6888
2024-01-30 20:00:00,6208
2024-01-30 21:00:00,6336
2024-01-30 22:00:00,4552
2024-01-30 23:00:00,2379
2024-01-31 00:00:00,1224
2024-01-31 01:00:00,469
2024-01-31 02:00:00,287
2024-01-31 03:00:00,159
2024-01-31 04:00:00,225
2024-01-31 05:00:00,556
2024-01-31 06:00:00,1433
2024-01-31 07:00:00,3403
2024-01-31 08:00:00,4578
2024-01-31 09:00:00,4982
2024-01-31 10:00:00,4703
2024-01-31 11:00:00,4883
2024-01-31 12:00:00,5367
2024-01-31 13:00:00,5494
2024-01-31 14:00:00,5813
2024-01-31 15:00:00,5956
2024-01-31 16:00:00,5971
2024-01-31 17:00:00,6768
2024-01-31 18:00:00,7319
2024-01-31 19:00:00,6309
2024-01-31 20:00:00,6070
2024-01-31 21:00:00,6064
2024-01-31 22:00:00,5062
2024-01-31 23:00:00,2932
2024-02-01 00:00:00,1524
2024-02-01 01:00:00,716
2024-02-01 02:00:00,419
2024-02-01 03:00:00,317
2024-02-01 04:00:00,238
2024-02-01 05:00:00,608
2024-02-01 06:00:00,1457
2024-02-01 07:00:00,3427
2024-02-01 08:00:00,4836
2024-02-01 09:00:00,4904
2024-02-01 10:00:00,4995
2024-02-01 11:00:00,4993
2024-02-01 12:00:00,5545
2024-02-01 13:00:00,5678
2024-02-01 14:00:00,6231
2024-02-01 15:00:00,6180
2024-02-01 16:00:00,6177
2024-02-01 17:00:00,7113
2024-02-01 18:00:00,8025
2024-02-01 19:00:00,6637
2024-02-01 20:00:00,6187
2024-02-01 21:00:00,6470
2024-02-01 22:00:00,6157
2024-02-01 23:00:00,3953
2024-02-02 00:00:00,2388
2024-02-02 01:00:00,1320
2024-02-02 02:00:00,709
2024-02-02 03:00:00,432
2024-02-02 04:00:00,392
2024-02-02 05:00:00,550
2024-02-02 06:00:00,1304
2024-02-02 07:00:00,2953
2024-02-02 08:00:00,4271
2024-02-02 09:00:00,4763
2024-02-02 10:00:00,4574
2024-02-02 11:00:00,4998
2024-02-02 12:00:00,5380
2024-02-02 13:00:00,5224
2024-02-02 14:00:00,5720
2024-02-02 15:00:00,5952
2024-02-02 16:00:00,5982
2024-02-02 17:00:00,6697
2024-02-02 18:00:00,6832
2024-02-02 19:00:00,6250
2024-02-02 20:00:00,5308
2024-02-02 21:00:00,5617
2024-02-02 22:00:00,5602
2024-02-02 23:00:00,5529
2024-02-03 00:00:00,4775
2024-02-03 01:00:00,4183
2024-02-03 02:00:00,2952
2024-02-03 03:00:00,1758
2024-02-03 04:00:00,807
2024-02-03 05:00:00,373
2024-02-03 06:00:00,583
2024-02-03 07:00:00,1057
2024-02-03 08:00:00,1865
2024-02-03 09:00:00,2894
2024-02-03 10:00:00,3954
2024-02-03 11:00:00,4597
2024-02-03 12:00:00,5098
2024-02-03 13:00:00,5307
2024-02-03 14:00:00,5583
2024-02-03 15:00:00,5935
2024-02-03 16:00:00,6765
2024-02-03 17:00:00,6622
2024-02-03 18:00:00,6762
2024-02-03 19:00:00,6390
2024-02-03 20:00:00,5413
2024-02-03 21:00:00,5631
2024-02-03 22:00:00,6338
2024-02-03 23:00:00,6105
2024-02-04 00:00:00,5856
2024-02-04 01:00:00,4554
2024-02-04 02:00:00,3304
2024-02-04 03:00:00,2311
2024-02-04 04:00:00,1083
2024-02-04 05:00:00,367
2024-02-04 06:00:00,594
2024-02-04 07:00:00,1069
2024-02-04 08:00:00,1649
2024-02-04 09:00:00,2659
2024-02-04 10:00:00,3677
2024-02-04 11:00:00,4279
2024-02-04 12:00:00,4656
2024-02-04 13:00:00,5077
2024-02-04 14:00:00,4968
2024-02-04 15:00:00,5013
2024-02-04 16:00:00,5428
2024-02-04 17:00:00,5106
2024-02-04 18:00:00,4967
2024-02-04 19:00:00,4111
2024-02-04 20:00:00,3582
2024-02-04 21:00:00,3166
2024-02-04 22:00:00,2544
2024-02-04 23:00:00,1550
2024-02-05 00:00:00,942
2024-02-05 01:00:00,481
2024-02-05 02:00:00,268
2024-02-05 03:00:00,178
2024-02-05 04:00:00,171
2024-02-05 05:00:00,579
2024-02-05 06:00:00,1385
2024-02-05 07:00:00,3165
2024-02-05 08:00:00,4561
2024-02-05 09:00:00,4620
2024-02-05 10:00:00,4364
2024-02-05 11:00:00,4408
2024-02-05 12:00:00,4726
2024-02-05 13:00:00,4805
2024-02-05 14:00:00,5203
2024-02-05 15:00:00,5640
2024-02-05 16:00:00,5606
2024-02-05 17:00:00,6233
2024-02-05 18:00:00,6553
2024-02-05 19:00:00,5299
2024-02-05 20:00:00,4893
2024-02-05 21:00:00,4572
2024-02-05 22:00:00,3099
2024-02-05 23:00:00,1759
2024-02-06 00:00:00,914
2024-02-06 01:00:00,379
2024-02-06 02:00:00,196
2024-02-06 03:00:00,140
2024-02-06 04:00:00,209
2024-02-06 05:00:00,460
2024-02-06 06:00:00,1460
2024-02-06 07:00:00,3504
2024-02-06 08:00:00,5071
2024-02-06 09:00:00,5225
2024-02-06 10:00:00,4977
2024-02-06 11:00:00,5060
2024-02-06 12:00:00,5484
2024-02-06 13:00:00,5309
2024-02-06 14:00:00,5840
2024-02-06 15:00:00,6029
2024-02-06 16:00:00,6047
2024-02-06 17:00:00,6847
2024-02-06 18:00:00,7326
